Fecha,Hora,Precio marginal local ($/MWh)
25/04/2017,17,1792.19
25/04/2017,18,1553.41
25/04/2017,19,1596.76
25/04/2017,20,2111.36
25/04/2017,21,1607.71
25/04/2017,22,1579.93
25/04/2017,23,1501.25
25/04/2017,24,1550.86
26/04/2017,1,1553.07
26/04/2017,2,1550.7
26/04/2017,3,1358.83
26/04/2017,4,1230.86
26/04/2017,5,1135.03
26/04/2017,6,1440.55
26/04/2017,7,1622.01
26/04/2017,8,1599.64
26/04/2017,9,1387.68
26/04/2017,10,1201.24
26/04/2017,11,1862.6
26/04/2017,12,1565.67
26/04/2017,13,3397.04
26/04/2017,14,3026.02
26/04/2017,15,2141.06
26/04/2017,16,4251.31
26/04/2017,17,1988.26
26/04/2017,18,2073.13
26/04/2017,19,1579.73
26/04/2017,20,1821.94
26/04/2017,21,1612.53
26/04/2017,22,1811.04
26/04/2017,23,1605.86
26/04/2017,24,1500.09
27/04/2017,1,6156.01
27/04/2017,2,3021.53
27/04/2017,3,3670.27
27/04/2017,4,3677.8
27/04/2017,5,4795.64
27/04/2017,6,4772.58
27/04/2017,7,3647.15
27/04/2017,8,3101.31
27/04/2017,9,2457.62
27/04/2017,10,5118.66
27/04/2017,11,5235.25
27/04/2017,12,5472.43
27/04/2017,13,4671.26
27/04/2017,14,4683.43
27/04/2017,15,4852.51
27/04/2017,16,4907.73
27/04/2017,17,5286.01
27/04/2017,18,5505.84
27/04/2017,19,5161.6
27/04/2017,20,3694.76
27/04/2017,21,3802.19
27/04/2017,22,4934.4
27/04/2017,23,5122.02
27/04/2017,24,2795.86
28/04/2017,1,1921.14
28/04/2017,2,3033
28/04/2017,3,1762.54
28/04/2017,4,2576.96
28/04/2017,5,1844.69
28/04/2017,6,2094.93
28/04/2017,7,2443.17
28/04/2017,8,1928.46
28/04/2017,9,1998.17
28/04/2017,10,2662.43
28/04/2017,11,2095.83
28/04/2017,12,3064
28/04/2017,13,2508.02
28/04/2017,14,2514.18
28/04/2017,15,2136.83
28/04/2017,16,2487.61
28/04/2017,17,2058.31
28/04/2017,18,2097.83
28/04/2017,19,2039.15
28/04/2017,20,3496.54
28/04/2017,21,2535.81
28/04/2017,22,2556.2
28/04/2017,23,4061.6
28/04/2017,24,2890.85
29/04/2017,1,1292.63
29/04/2017,2,1504.04
29/04/2017,3,1517.14
29/04/2017,4,1556.12
29/04/2017,5,1587.98
29/04/2017,6,1549.77
29/04/2017,7,1552.23
29/04/2017,8,1544.43
29/04/2017,9,1537.42
29/04/2017,10,1561.26
29/04/2017,11,1702.17
29/04/2017,12,1609.2
29/04/2017,13,1772.18
29/04/2017,14,1623.3
29/04/2017,15,1612.78
29/04/2017,16,2003.08
29/04/2017,17,1608.69
29/04/2017,18,1655.96
29/04/2017,19,1565.3
29/04/2017,20,1418.09
29/04/2017,21,1296.27
29/04/2017,22,1516.56
29/04/2017,23,1617.89
29/04/2017,24,1643.27
30/04/2017,1,1427.75
30/04/2017,2,1467.14
30/04/2017,3,1420.46
30/04/2017,4,1002.16
30/04/2017,5,984.39
30/04/2017,6,1001.78
30/04/2017,7,996.3
30/04/2017,8,977.31
30/04/2017,9,985
30/04/2017,10,1042.22
30/04/2017,11,1085.39
30/04/2017,12,1085.55
30/04/2017,13,1491.63
30/04/2017,14,1499.94
30/04/2017,15,1422.97
30/04/2017,16,1497.33
30/04/2017,17,1586.21
30/04/2017,18,1419.36
30/04/2017,19,1424.89
30/04/2017,20,1490.69
30/04/2017,21,1241.21
30/04/2017,22,1407.95
30/04/2017,23,1461.18
30/04/2017,24,1471.47
01/08/2017,1,1494.26
01/08/2017,2,1378.76
01/08/2017,3,1401.03
01/08/2017,4,1356.74
01/08/2017,5,1302.67
01/08/2017,6,1380.18
01/08/2017,7,1400.17
