h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
238,0,9.966257972,-0.163318333,0.98256864,0,19.32361,0.984909845,0.173068185,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
239,0,9.599397234,-0.157363987,0.981502803,0,19.32361,0.985997791,0.166758374,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
240,0,9.229691988,-0.151356947,0.980387994,0,19.32361,0.987053278,0.160392723,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
241,0,8.857251784,-0.145299097,0.979223664,0,19.32361,0.98807502,0.153973229,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
242,0,8.482186986,-0.139192354,0.978009316,0,19.32361,0.989061769,0.147501923,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
243,0,8.104608732,-0.133038664,0.976744498,0,19.32361,0.990012321,0.140980867,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
244,0,7.724628908,-0.12684,0.975428812,0,19.32361,0.990925513,0.134412153,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
245,0,7.34236011,-0.120598368,0.974061911,0,19.32361,0.99180023,0.127797905,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
246,0,6.957915612,-0.114315798,0.972643501,0,19.32361,0.992635398,0.121140274,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
247,0,6.571409333,-0.107994346,0.971173341,0,19.32361,0.993429996,0.114441442,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
248,0,6.182955804,-0.101636096,0.969651246,0,19.32361,0.994183047,0.107703614,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
249,0,5.792670132,-0.095243152,0.968077086,0,19.32361,0.994893629,0.100929021,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
250,0,5.400667967,-0.088817644,0.966450787,0,19.32361,0.995560867,0.09411992,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
251,0,5.007065467,-0.082361721,0.964772333,0,19.32361,0.996183943,0.087278588,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
252,0,4.611979266,-0.075877554,0.963041765,0,19.32361,0.996762089,0.080407327,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
253,0,4.215526435,-0.069367332,0.961259181,0,19.32361,0.997294594,0.073508454,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
254,0,3.817824453,-0.06283326,0.95942474,0,19.32361,0.997780803,0.066584309,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
255,0,3.418991168,-0.056277562,0.957538658,0,19.32361,0.998220115,0.059637245,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
256,0,3.019144761,-0.049702474,0.955601212,0,19.32361,0.998611992,0.052669635,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
257,0,2.618403717,-0.043110245,0.953612735,0,19.32361,0.998955947,0.045683861,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
258,0,2.216886783,-0.036503139,0.951573622,0,19.32361,0.999251559,0.03868232,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
259,0,1.814712938,-0.029883426,0.949484328,0,19.32361,0.999498461,0.031667421,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
260,0,1.412001354,-0.023253387,0.947345366,0,19.32361,0.99969635,0.024641578,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
261,0,1.008871364,-0.016615309,0.945157308,0,19.32361,0.999844981,0.017607217,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
262,0,0.605442423,-0.009971485,0.942920785,0,19.32361,0.99994417,0.010566767,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
263,0,0.201834077,-0.003324212,0.94063649,0,19.32361,0.999993795,0.003522662,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
264,0,-0.201834077,0.003324212,0.938305169,0,19.32361,0.999993795,-0.003522662,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
265,0,-0.605442423,0.009971485,0.93592763,0,19.32361,0.99994417,-0.010566767,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
266,0,-1.008871364,0.016615309,0.933504736,0,19.32361,0.999844981,-0.017607217,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
267,0,-1.412001354,0.023253387,0.931037407,0,19.32361,0.99969635,-0.024641578,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
268,0,-1.814712938,0.029883426,0.928526621,0,19.32361,0.999498461,-0.031667421,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
269,0,-2.216886783,0.036503139,0.925973409,0,19.32361,0.999251559,-0.03868232,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
270,0,-2.618403717,0.043110245,0.923378856,0,19.32361,0.998955947,-0.045683861,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
271,0,-3.019144761,0.049702474,0.920744102,0,19.32361,0.998611992,-0.052669635,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
272,0,-3.418991168,0.056277562,0.918070338,0,19.32361,0.998220115,-0.059637245,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
273,0,-3.817824453,0.06283326,0.915358808,0,19.32361,0.997780803,-0.066584309,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
274,0,-4.215526435,0.069367332,0.912610804,0,19.32361,0.997294594,-0.073508454,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
275,0,-4.611979266,0.075877554,0.909827668,0,19.32361,0.996762089,-0.080407327,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
276,0,-5.007065467,0.082361721,0.907010791,0,19.32361,0.996183943,-0.087278588,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
277,0,-5.400667967,0.088817644,0.904161607,0,19.32361,0.995560867,-0.09411992,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
278,0,-5.792670132,0.095243152,0.901281598,0,19.32361,0.994893629,-0.100929021,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
279,0,-6.182955804,0.101636096,0.898372288,0,19.32361,0.994183047,-0.107703614,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
